brand,product,segment,pack_size,observed_price_thb,unit_price,price_source_url,observed_at,claims,ingredients_or_technology,positioning,channels,strengths,weaknesses,whitespace,evidence_grade
DENTISTE',Original Toothpaste Tube,direct premium / freshness,100 g,231,231.00 THB/100 g,https://dentiste-oralcare.com/th/products/dentiste-original-toothpaste-tube,2026-08-28,"Official Thai page states 14 natural extracts, oral-hygiene/bacterial-accumulation and long-lasting freshness claims; claims are competitor statements, not independently validated here.",14 natural extracts stated; exact full formula not audited,"Thai premium, night/freshness ritual",official D2C; Thai retail/e-commerce relevance,clear premium/night-freshness story; local official page and exact prices,claim strength creates substantiation/compliance burden; category crowded,transparent evidence and sensorial proof without overnight overclaim,A/B official product page
Marvis,Whitening Mint,lifestyle/imported premium,85 ml,435,511.76 THB/100 ml,https://www.priceza.com/s/ราคา/Marvis-Whitening-Mint-85ml,2026-08-28,"Official page calls it an iconic whitening toothpaste and describes intense, long-lasting freshness; treated as brand claims.",ไม่พบข้อมูลสาธารณะในหน้าที่ตรวจสำหรับสูตรเต็ม,"design, flavor and lifestyle ritual",specialty/import e-commerce; brand social/content,distinctive visual/flavor codes and premium heritage,high observed price; proof architecture less explicit in audited page,premium sensorial ritual with easier-to-inspect proof and Thai availability,B official positioning + C price aggregator
APAGARD,Premio Premium Type,specialty/technology premium,105 g,612,582.86 THB/100 g,https://www.priceza.com/s/ราคา/APAGARD-Premio-105g,2026-08-28,Official Japanese page describes a premium type with high medicinal hydroxyapatite content; market-specific claim scope must be checked.,medicinal hydroxyapatite (official Japanese wording); light mint,Japanese mineral-technology premium care,import/specialty e-commerce,specific technology story and premium pack architecture,high price; Japanese regulatory wording may not transfer to Thailand,Thai-localized proof translation and transparent claim scope,B official Japan + C Thai price aggregator
CURAPROX Enzycal,Enzycal 1450,specialty/functional premium,75 ml,395,526.67 THB/100 ml,https://www.curaprox.co.th/product/curaprox-enzycal-1450/,2026-08-28,"Official Thai page describes mild taste, 1450 ppm fluoride and suitability wording; exact claim/age guidance requires label review.",1450 ppm fluoride; enzyme-led Enzycal positioning; page states no SLS elsewhere in range but variant-specific formula should be verified,gentle specialist oral care,official Thailand site; dental/specialty channel relevance,"specific formulation cues, official Thai price and specialist equity",premium price and narrower distribution; claim details need label confirmation,sensorial gentleness explained with product-version proof,A official Thai product page
VUSSEN,VUSSEN 28 Floral Mint,K-beauty whitening specialty,80 g,360,450.00 THB/100 g,https://www.priceza.com/s/ราคา/Vussen-28-80g,2026-08-28,Official Korean page names it a tooth-whitening product; no Thai-permissible efficacy wording inferred.,ไม่พบข้อมูลสาธารณะในหน้าที่ตรวจสำหรับสูตร/active ที่ยืนยันได้,Korean numbered-intensity whitening system,Korean official D2C; Thai import marketplaces,memorable tier architecture and beauty relevance,Thai availability/claim translation and proof scope uncertain,avoid intensity race; lead with transparent evidence and comfort experience,B official Korea + C Thai price aggregator
Sensodyne,Clinical White Enamel Strengthening,therapeutic mass-premium substitute,100 g,149,149.00 THB/100 g,https://www.priceza.com/s/ราคา/Sensodyne-Clinical-White,2026-08-28,"Retail listings carry whitening and sensitivity-protection wording; variant-specific official Thai page was unavailable during audit, so wording is not promoted as verified fact.",ไม่พบข้อมูลสาธารณะที่ตรวจยืนยันได้ใน official Thai variant page,sensitivity authority extended to whitening,"pharmacy, mass retail, marketplaces",strong therapeutic trust and broad accessibility,lower price anchors category; exact audited variant page unavailable,premium experience/proof transparency rather than competing on therapeutic authority,C retailer/aggregator; official variant page unavailable
Colgate Optic White,Optic White O2,mass-premium whitening,85 g,189,222.35 THB/100 g,https://www.priceza.com/s/ราคา/Colgate-Optic-White-O2,2026-08-28,Thai marketplace listings position O2 as whitening; no specific efficacy statement is treated as verified without exact official Thai variant page.,O2-branded whitening technology; exact formula not audited,accessible beauty whitening under mass oral-care leader,"mass retail, pharmacy, marketplaces, broad digital","reach, availability and strong category salience",promotion/variant complexity and lower observed price pressure premium entrants,selective premium ritual with traceable proof and clearer product versioning,C price aggregator + C public review page; official Thai page blocked during audit
Oral-B/Crest 3D White,Oral-B 3D White Fast White / Luxe reference,mass-premium whitening substitute,90 g Thai observed listing,135,150.00 THB/100 g,https://www.priceza.com/s/ราคา/Oral-B-3D-White,2026-08-28,"Official UK Luxe page describes advanced whitening, surface-stain removal and fluoride/enamel wording; these are not assumed to apply to the Thai 90 g listing.",official UK reference: whitening technology and fluoride; Thai variant exact formula not audited,technology-forward mass whitening,mass retail and marketplaces; Thailand variant availability varies,global oral-care equity and functional story,cross-market variant mismatch risk; promotion-heavy price architecture,radical variant/claim transparency and premium sensory differentiation,B official UK reference + C Thai price aggregator
Sparkle,Triple White,Thai mass-premium alternative,100 g,145,145.00 THB/100 g,https://www.priceza.com/s/ราคา/Sparkle-Triple-White,2026-08-28,Retail listings use stain/plaque-removal and Triple White wording; official substantiation not audited.,ไม่พบข้อมูลสาธารณะที่ตรวจยืนยันได้สำหรับสูตรเต็ม,Thai beauty/whitening-accessible premium,"Thai mass retail, beauty retail and marketplaces","local relevance, accessible price and visible beauty angle",claim/proof depth not clear in audited sources,evidence page and premium sensorial ritual at higher price,C retailer/price aggregator
Twin Lotus,Herbaliste Matcha Green Tea Peach,herbal/natural mass-premium alternative,150 g,180,120.00 THB/100 g,https://www.priceza.com/s/ราคา/Twin-Lotus-Herbaliste,2026-08-28,Official brand/retail pages position the line as herbal/flavor-led; no therapeutic inference is added.,matcha green tea/peach variant naming; full formula not audited,Thai herbal familiarity modernized with flavors,Thai mass retail and marketplaces,"local heritage, availability and distinct herbal cue",natural/herbal wording can invite unsupported efficacy inference; lower price anchor,modern premium ritual with evidence-first ingredient communication,B official brand category + C price aggregator
